gene,Relative.Growth.Rate,phenotype,lower,upper,variance,timesAnalysed
PBANKA_101935,1.057743169,Dispensable,0.908788902,1.206697436,0.005546843,1
PBANKA_020020,0.973784087,Dispensable,0.824016239,1.123551936,0.005607602,1
PBANKA_020010,0.989429784,Dispensable,0.887590066,1.091269503,0.002592832,2
PBANKA_010010,1.032612356,Dispensable,0.911524274,1.153700437,0.003665581,1
PBANKA_010080,1.000788455,Dispensable,0.887256628,1.114320282,0.003222369,1
PBANKA_010090,0.22544335,Essential,-0.252598645,0.703485345,0.057131037,3
PBANKA_010110,1.003369957,Dispensable,0.877734216,1.129005697,0.003946085,1
PBANKA_010120,0.103272989,Essential,-0.0773863,0.283932277,0.008159445,3
PBANKA_010130,0.1,Essential,-0.130683341,1.067885412,0.089785441,3
PBANKA_010150,0.999351681,Dispensable,0.891811284,1.106892077,0.002891234,1
PBANKA_010160,0.855584673,Dispensable,0.679571018,1.031598329,0.007745202,1
PBANKA_010190,0.418043288,Insufficient data,-0.154425232,0.990511807,0.081930052,1
PBANKA_010200,0.146384593,Essential,0.07839207,0.214377117,0.001155746,2
PBANKA_010210,0.196174479,Slow,0.113216969,0.279131989,0.001720487,2
PBANKA_010220,1.016070267,Dispensable,0.83008255,1.202057984,0.008647858,2
PBANKA_010240,0.984531449,Dispensable,0.864125352,1.104937545,0.003624407,2
PBANKA_010260,0.035639294,Essential,-0.027905148,0.099183736,0.001009474,3
PBANKA_010290,0.123221961,Essential,-0.010811131,0.257255053,0.004491217,2
PBANKA_010330,0.84254098,Dispensable,0.646035142,1.039046818,0.009653636,2
PBANKA_010400,0.134182752,Essential,0.068358471,0.200007033,0.001083209,2
PBANKA_010430,0.913673711,Dispensable,0.740055757,1.087291665,0.007535798,2
PBANKA_010450,0.946685237,Dispensable,0.757065483,1.136304992,0.008988913,1
PBANKA_010460,0.979627097,Dispensable,0.864409596,1.094844598,0.003318768,2
PBANKA_010470,0.831217691,Dispensable,0.652974057,1.009461325,0.007942698,1
PBANKA_010480,0.0404416,Essential,0.003986837,0.076896363,0.000332237,2
PBANKA_010490,0.360714069,Slow,0.25431341,0.467114727,0.002830275,2
PBANKA_010510,1.051915466,Dispensable,0.903055999,1.200774933,0.005539785,1
PBANKA_010520,0.861071547,Dispensable,0.705184062,1.016959033,0.006075227,2
PBANKA_010530,0.901844886,Dispensable,0.673848934,1.129840838,0.012995539,2
PBANKA_010540,0.039156135,Essential,-0.073023473,0.151335744,0.003146066,2
PBANKA_010550,0.230340132,Slow,0.148011341,0.312668922,0.001694507,2
PBANKA_010560,0.109799347,Essential,-0.041904778,0.261503473,0.005753535,2
PBANKA_010570,0.968013816,Dispensable,0.831775122,1.10425251,0.004640245,1
PBANKA_010580,0.979667346,Dispensable,0.820871855,1.138462838,0.006304002,1
PBANKA_010590,0.770170847,Dispensable,0.51190213,1.028439563,0.016675682,1
PBANKA_010600,0.819534974,Dispensable,0.648340273,0.990729674,0.007326906,2
PBANKA_010610,0.088012459,Essential,0.018995783,0.157029136,0.001190825,2
PBANKA_010620,1.016958916,Dispensable,0.912948624,1.120969208,0.002704535,1
PBANKA_010630,0.795965086,Slow,0.650535493,0.941394678,0.005287442,3
PBANKA_010640,0.095049617,Essential,0.016284359,0.173814875,0.001550991,2
PBANKA_010660,0.822784044,Slow,0.679113134,0.966454953,0.005160333,1
PBANKA_010670,0.132901606,Essential,0.022347794,0.243455418,0.003055536,2
PBANKA_010690,0.123606434,Essential,0.001605719,0.245607149,0.003721044,2
PBANKA_010700,0.162363899,Essential,0.06769265,0.257035148,0.002240661,2
PBANKA_010720,1.051368228,Dispensable,0.954272547,1.148463908,0.002356893,1
PBANKA_010730,0.633020719,Slow,0.395897237,0.870144202,0.014056886,2
PBANKA_010740,0.941239334,Dispensable,0.785528619,1.096950049,0.006061457,1
PBANKA_010770,0.418922928,Slow,0.317963572,0.519882284,0.002548198,3
PBANKA_010780,0.175987161,Essential,0.089887637,0.262086686,0.001853282,3
PBANKA_010790,0.131612448,Essential,-0.099763839,0.362988736,0.013383747,2
PBANKA_010820,0.560067345,Slow,0.383474465,0.736660225,0.007796261,2
PBANKA_010870,0.317040382,Slow,0.242483102,0.391597662,0.001389697,2
