Old,New,MosOrInjection,JustInjection
PBANKA_010110,PBANKA_0101100,1,1
PBANKA_020990,PBANKA_0209900,1,1
PBANKA_030470,PBANKA_0304700,1,1
PBANKA_040760,PBANKA_0407600,1,1
PBANKA_050120,PBANKA_0501200,1,1
PBANKA_050650,PBANKA_0506500,1,1
PBANKA_070700,PBANKA_0707000,1,1
PBANKA_071490,PBANKA_0714900,1,1
PBANKA_080810,PBANKA_0808100,1,1
PBANKA_081300,PBANKA_0813000,1,1
PBANKA_081700,PBANKA_0817000,1,1
PBANKA_090210,PBANKA_0902100,1,1
PBANKA_092550,PBANKA_0925500,1,1
PBANKA_100210,PBANKA_1002100,1,1
PBANKA_100220,PBANKA_1002200,1,1
PBANKA_100630,PBANKA_1006300,1,1
PBANKA_100950,PBANKA_1009500,1,1
PBANKA_102460,PBANKA_1024600,1,1
PBANKA_111050,PBANKA_1110500,1,1
PBANKA_111600,PBANKA_1116000,1,1
PBANKA_112510,PBANKA_1125100,1,1
PBANKA_130280,PBANKA_1302800,1,1
PBANKA_132170,PBANKA_1321700,1,1
PBANKA_134650,PBANKA_1346500,1,1
PBANKA_140410,PBANKA_1404100,1,1
PBANKA_143190,PBANKA_1431900,1,1
PBANKA_145920,PBANKA_1459200,1,1
PBANKA_133820,PBANKA_1338200,1,1
PBANKA_134980,PBANKA_1349800,1,1
PBANKA_112810,PBANKA_1128100,1,1
PBANKA_082090,PBANKA_082090,1,1
PBANKA_051100,PBANKA_051100,1,1
PBANKA_141050,PBANKA_141050,1,1
PBANKA_030820,PBANKA_030820,1,1
PBANKA_082380,PBANKA_082380,1,1
PBANKA_135750,PBANKA_135750,1,1
PBANKA_041810,PBANKA_041810,1,1
PBANKA_030480,PBANKA_030480,1,1
PBANKA_051490,PBANKA_051490,0,0
PBANKA_135970,PBANKA_135970,0,0
PBANKA_144400,PBANKA_144400,0,0
PBANKA_114130,PBANKA_114130,0,0
PBANKA_142700,PBANKA_142700,0,0
PBANKA_110760,PBANKA_110760,0,0
PBANKA_143400,PBANKA_143400,0,0
PBANKA_040220,PBANKA_040220,0,0
PBANKA_040820,PBANKA_040820,0,0
PBANKA_041050,PBANKA_041050,0,0
PBANKA_135960,PBANKA_135960,0,0
PBANKA_082040,PBANKA_082040,0,0
PBANKA_130620,PBANKA_130620,0,0
PBANKA_030510,PBANKA_030510,0,0
PBANKA_011250,PBANKA_011250,0,0
PBANKA_030500,PBANKA_030500,0,0
PBANKA_060470,PBANKA_060470,0,0
PBANKA_093210,PBANKA_093210,0,0
PBANKA_140400,PBANKA_140400,0,0
PBANKA_140900,PBANKA_140900,0,0
PBANKA_020920,PBANKA_020920,0,0
PBANKA_070620,PBANKA_070620,0,0
PBANKA_113140,PBANKA_113140,0,0
PBANKA_080050,PBANKA_080050,0,0
PBANKA_061920,PBANKA_061920,0,0
PBANKA_101330,PBANKA_101330,0,0
PBANKA_111470,PBANKA_111470,0,0
PBANKA_111340,PBANKA_111340,0,0
PBANKA_101810,PBANKA_101810,0,0
PBANKA_144200,PBANKA_144200,0,0
PBANKA_060240,PBANKA_060240,0,0
PBANKA_112980,PBANKA_112980,0,0
PBANKA_111090,PBANKA_111090,0,0
PBANKA_120680,PBANKA_120680,0,0
PBANKA_051500,PBANKA_051500,0,0
PBANKA_131870,PBANKA_131870,0,0
PBANKA_030600,PBANKA_030600,0,0
PBANKA_103450,PBANKA_103450,0,0
PBANKA_130070,PBANKA_130070,0,0
PBANKA_146220,PBANKA_146220,0,0
PBANKA_020830,PBANKA_0208300,1,NA
PBANKA_040940,PBANKA_0409400,1,NA
PBANKA_071220,PBANKA_0712200,1,NA
PBANKA_091020,PBANKA_0910200,1,NA
PBANKA_130470,PBANKA_1304700,1,NA
PBANKA_131170,PBANKA_1311700,1,NA
PBANKA_131800,PBANKA_1318000,1,NA
PBANKA_140270,PBANKA_1402700,1,NA
PBANKA_142210,PBANKA_1422100,1,NA
PBANKA_142720,PBANKA_1427200,1,NA
PBANKA_112190,,0,0
PBANKA_112670,,0,0
PBANKA_123230,,0,0
